ID,Energiedragers,Perioden,TotaalAanbodTPES_1,Winning_2,Invoer_3,Uitvoer_4,NettoInvoer_5,Bunkering_6,Voorraadmutatie_7,StatistischeVerschillen_8,TotaalEnergieverbruik_9,TotaalInzet_10,InzetElektriciteitWKKOmzetting_11,InzetAndereOmzetting_12,TotaalProductie_13,ProductieElektriciteitWKKOmzetting_14,ProductieAndereOmzetting_15,TotaalSaldoEnergieomzetting_16,SaldoElektriciteitWKKOmzetting_17,SaldoAndereOmzetting_18,Totaal_19,ElektriciteitsEnWarmteproductie_20,WinningVanOlieEnGas_21,Cokesfabrieken_22,Hoogovens_23,OlieraffinageInstallaties_24,OverigeInstallaties_25,VerliezenBijDistributie_26,TotaalFinaalVerbruik_27,Totaal_28,Totaal_29,IJzerEnStaalindustrie_30,ChemieEnFarmaceutischeIndustrie_31,NonFerrometalen_32,Bouwmaterialenindustrie_33,Transportmiddelenindustrie_34,MetaalproductenEnMachineIndustrie_35,DelfstoffenwinningGeenOlieEnGas_36,VoedingsEnGenotmiddelenindustrie_37,PapierEnGrafischeIndustrie_38,Houtindustrie_39,Bouwnijverheid_40,TextielKledingEnLederindustrie_41,OverigeIndustrieEnOnbekend_42,Totaal_43,BinnenlandseLuchtvaart_44,Wegverkeer_45,Railverkeer_46,Pijpleidingen_47,BinnenlandseScheepvaart_48,Onbekend_49,Totaal_50,DienstenAfvalWaterEnReparatie_51,Woningen_52,Landbouw_53,Visserij_54,Onbekend_55,Totaal_56,NijverheidExclusiefDeEnergiesector_57,WaarvanChemieEnPetrochemie_58,Vervoer_59,OverigeAfnemers_60
23,T001027   ,1969JJ00,1826.1,959.4,2631.3,1397.0,1234.3,350.1,-17.3,1.1,1825.0,2743.8,361.9,2381.9,2309.9,133.7,2176.2,433.9,228.2,205.7,43.5,6.8,12.6,12.9,,3.3,7.8,7.2,1340.4,1228.3,415.3,62.0,149.8,8.5,31.2,,,0.0,51.8,25.1,,,,87.1,221.1,15.4,161.2,5.3,,39.0,,591.9,100.3,448.5,39.2,,3.8,112.0,107.5,56.1,,4.5
24,T001027   ,1970JJ00,2061.5,1230.2,3154.3,1878.3,1276.0,385.1,-59.7,-0.5,2062.0,3218.7,399.9,2818.8,2876.0,147.1,2728.9,342.7,252.8,89.9,189.2,7.1,19.3,13.8,,143.6,5.3,7.9,1522.2,1349.3,458.1,66.1,168.3,9.4,36.6,,,,56.8,26.3,,,,94.6,234.3,7.7,177.4,6.3,,42.9,,656.9,136.4,484.0,35.2,,1.3,172.8,168.0,110.0,,4.8
25,T001027   ,1971JJ00,2133.4,1586.7,3070.3,2075.9,994.4,408.8,-38.5,-4.6,2138.0,3187.1,427.6,2759.5,2847.6,161.7,2685.9,339.5,265.9,73.6,194.5,7.8,22.8,15.1,,145.0,3.9,9.1,1594.9,1404.0,472.0,65.8,181.9,14.1,39.7,1.9,9.8,0.0,60.0,27.4,1.6,0.7,8.6,60.5,243.7,5.2,192.4,6.0,,40.2,,688.3,194.2,460.9,30.6,,2.6,191.1,185.9,126.8,,5.2
26,T001027   ,1972JJ00,2445.5,2025.6,3356.3,2438.6,917.7,500.8,3.2,-17.7,2463.2,3609.3,482.2,3127.1,3239.5,178.4,3061.1,369.8,303.8,66.0,199.9,8.4,17.9,15.8,,155.1,2.8,10.8,1882.7,1621.3,540.5,70.6,224.1,15.4,44.1,2.4,10.2,0.0,63.2,28.9,1.5,0.8,10.4,68.5,260.3,3.7,205.3,5.9,,45.4,,820.5,247.8,534.8,36.2,,1.6,261.7,256.4,198.6,,5.2
27,T001027   ,1973JJ00,2597.0,2402.6,3628.1,2892.7,735.4,527.0,-13.8,-26.6,2623.6,3814.7,508.0,3306.7,3428.3,189.5,3238.8,386.4,318.5,67.9,206.1,8.6,11.4,24.3,,159.8,1.9,11.2,2019.9,1699.5,570.7,70.2,241.5,16.5,46.4,2.3,9.8,0.2,67.9,35.2,1.6,0.8,10.2,67.9,273.9,4.4,214.4,5.5,,49.6,,854.9,240.1,560.6,50.5,,3.7,320.3,314.7,248.0,,5.5
28,T001027   ,1974JJ00,2559.1,2820.1,3354.1,3109.7,244.4,428.7,-77.2,-5.6,2564.7,3463.6,535.0,2928.6,3063.7,197.1,2866.6,399.9,337.9,62.0,193.9,5.5,13.7,24.5,,148.6,1.6,11.1,1959.8,1623.2,575.0,72.9,261.4,21.3,46.7,3.0,9.1,0.2,67.5,34.8,1.6,0.9,10.2,45.1,254.9,4.8,205.7,5.2,,39.2,,793.3,239.1,498.9,52.8,,2.7,336.4,331.9,247.7,,4.5
29,T001027   ,1975JJ00,2475.4,3007.1,2887.9,2989.3,-101.4,474.7,44.6,-28.5,2503.9,3112.7,511.0,2601.7,2738.5,195.3,2543.2,374.2,315.7,58.5,173.7,8.4,14.4,24.3,,126.5,0.1,8.8,1947.2,1565.7,428.3,57.9,143.5,21.0,42.4,3.0,9.3,0.2,67.5,28.6,2.2,0.8,9.6,42.3,274.2,4.6,223.9,5.1,,40.7,,863.2,281.5,535.8,44.3,,1.6,381.2,377.0,288.5,,4.1
30,T001027   ,1976JJ00,2744.0,3222.0,3286.9,3271.7,15.2,489.9,-3.4,-31.0,2775.0,3480.7,536.3,2944.4,3088.1,209.3,2878.8,392.6,327.0,65.6,179.4,9.0,15.1,8.6,,146.5,0.2,9.3,2193.7,1724.4,453.1,75.7,147.6,20.8,41.0,3.6,10.3,0.3,64.8,22.9,2.2,1.3,9.4,53.0,315.7,13.5,247.2,5.1,,49.9,,955.6,340.9,573.1,40.5,,1.1,469.5,464.9,340.3,,4.5
31,T001027   ,1977JJ00,2655.6,3211.5,3061.3,3136.8,-75.5,481.9,1.3,-55.1,2710.7,3298.9,553.1,2745.8,2894.9,209.8,2685.1,404.0,343.3,60.7,174.3,9.4,14.1,8.1,,142.6,0.1,9.1,2123.3,1699.5,491.6,75.4,171.9,20.7,42.4,5.3,14.4,0.0,73.8,27.7,2.9,1.7,12.3,43.0,325.9,8.1,258.1,5.1,,54.6,,882.0,273.5,560.9,46.2,,1.3,423.9,419.5,328.3,,4.4
32,T001027   ,1978JJ00,2700.5,2959.6,3128.7,2896.3,232.4,504.7,13.2,-33.0,2733.5,3262.7,557.4,2705.3,2892.4,221.7,2670.7,370.3,335.7,34.6,161.5,9.8,13.6,7.9,,130.2,0.0,9.6,2192.1,1775.8,534.6,60.3,211.5,21.7,48.0,6.3,16.1,0.0,79.6,30.7,3.8,1.5,13.6,41.7,316.2,4.6,276.6,5.0,,29.9,,925.0,270.2,587.6,66.1,,1.0,416.2,411.8,361.6,,4.3
33,T001027   ,1979JJ00,2846.0,3113.7,3581.6,3319.1,262.5,453.0,-77.2,-25.0,2871.0,3538.7,593.6,2945.1,3132.0,232.1,2899.9,406.7,361.5,45.2,174.3,10.0,12.0,8.7,,143.5,0.0,10.1,2279.9,1862.7,592.9,62.9,266.2,22.2,46.3,6.7,16.7,0.0,79.8,31.2,3.6,1.5,13.4,42.0,307.9,1.7,273.5,5.1,,27.5,,961.9,271.3,616.5,72.7,,1.4,417.5,411.8,356.1,,5.6
34,T001027   ,1980JJ00,2720.1,3038.6,3683.8,3539.7,144.1,435.3,-26.7,-0.5,2720.6,3216.5,590.2,2626.3,2779.3,233.3,2546.0,437.2,356.9,80.3,162.6,10.2,12.1,8.5,,131.8,,9.9,2110.9,1745.2,519.9,54.4,217.8,21.9,44.2,4.9,15.4,0.5,77.2,29.7,2.8,1.8,12.1,37.1,314.1,2.1,282.1,5.5,,24.4,,911.2,203.7,613.3,89.0,,5.1,365.8,356.3,314.3,3.6,5.9
35,T001027   ,1981JJ00,2567.7,2826.3,3395.1,3327.2,67.9,417.7,91.4,-11.3,2579.0,2949.4,576.9,2372.5,2517.9,230.6,2287.3,431.5,346.3,85.2,153.2,10.3,14.5,7.7,,120.7,,10.0,1984.3,1704.7,543.4,48.5,258.8,22.2,38.1,4.7,14.6,0.5,76.3,27.9,2.6,1.6,11.8,35.7,320.2,1.6,290.9,5.5,,22.1,,841.1,209.0,566.3,61.4,,4.3,279.8,270.1,234.5,3.4,6.3
36,T001027   ,1982JJ00,2292.1,2440.2,3496.2,3234.3,261.9,411.2,1.0,-109.5,2401.6,3004.4,556.3,2448.1,2610.0,223.6,2386.4,394.4,332.7,61.7,159.9,10.2,13.5,8.7,,127.6,,10.1,1837.2,1604.1,520.6,49.7,239.8,21.0,30.2,6.3,25.9,0.8,75.7,31.0,2.0,16.0,9.2,13.3,307.8,2.9,287.6,6.5,,10.7,,775.7,163.1,525.0,84.7,,3.0,233.0,225.0,196.5,2.8,5.0
37,T001027   ,1983JJ00,2381.0,2622.5,3612.6,3521.0,91.6,387.8,54.8,-28.9,2409.9,3240.7,547.2,2693.5,2855.9,222.2,2633.7,384.8,325.0,59.8,105.7,9.9,15.4,7.6,,72.8,,10.1,1909.3,1621.2,512.3,46.1,265.2,20.1,29.6,5.8,26.1,1.1,65.3,24.7,2.0,8.8,8.1,9.2,314.8,2.1,295.0,6.0,,11.6,,794.1,188.6,516.1,86.8,,2.7,288.2,280.4,245.7,3.4,4.4
38,T001027   ,1984JJ00,2512.9,2670.9,3733.0,3538.7,194.3,365.4,13.2,-8.6,2521.5,3428.1,570.1,2858.0,3014.4,234.8,2779.6,413.7,335.3,78.4,117.8,9.0,15.4,9.4,,83.8,,10.7,1979.3,1652.7,518.7,47.8,252.1,21.1,31.3,6.0,26.6,1.8,63.6,23.1,1.6,13.6,6.4,23.4,320.6,4.7,299.9,5.9,,10.1,,813.4,231.9,473.1,99.7,,8.5,326.4,318.6,276.8,2.6,5.2
39,T001027   ,1985JJ00,2544.8,2809.6,3689.1,3569.3,119.8,420.9,35.8,-16.1,2560.9,3149.1,566.5,2582.6,2752.1,238.3,2513.8,397.0,328.2,68.8,124.8,8.6,15.6,10.4,,90.1,,11.2,2027.9,1717.2,501.3,45.4,253.5,21.3,33.7,6.6,26.0,1.2,64.1,23.3,2.3,5.3,7.1,11.1,319.5,2.8,281.3,5.7,,29.7,,896.4,265.0,517.2,106.3,,7.8,311.1,303.2,262.9,2.3,5.4
40,T001027   ,1986JJ00,2637.0,2639.0,4105.0,3565.5,539.5,465.0,-76.3,-12.5,2649.5,3690.7,604.5,3086.2,3262.0,257.6,3004.4,428.7,346.9,81.8,151.9,9.2,19.0,10.4,,113.2,,12.4,2056.5,1694.4,479.2,41.8,235.2,21.6,30.1,6.1,26.6,1.6,62.6,25.9,2.4,10.4,6.0,8.0,329.7,3.0,290.6,4.8,,31.3,,885.5,273.1,485.7,120.2,,6.7,362.1,355.5,315.2,2.2,4.5
